Template,Building Type,Space Type,,Exterior Wall Standards Construction Type,Exterior Wall Building Category,Exterior Floor Standards Construction Type,Exterior Floor Building Category,Exterior Roof Standards Construction Type,Exterior Roof Building Category,Interior Walls,Interior Floors,Interior Ceilings,Ground Contact Wall Standards Construction Type,Ground Contact Wall Building Category,Ground Contact Floor Standards Construction Type,Ground Contact Floor Building Category,Ground Contact Ceiling Standards Construction Type,Ground Contact Ceiling Building Category,Exterior Fixed Window Standards Construction Type,Exterior Fixed Window Building Category,Exterior Operable Window Standards Construction Type,Exterior Operable Window Building Category,Exterior Door Standards Construction Type,Exterior Door Building Category,Exterior Glass Doors,Exterior Overhead Door Standards Construction Type,Exterior Overhead Door Building Category,Exterior Skylight Standards Construction Type,Exterior Skylight Building Category,Tubular Daylight Domes,Tubular Daylight Diffusers,Interior Fixed Windows,Interior Operable Windows,Interior Doors,Space Shading,Building Shading,Site Shading,Interior Partitions
90.1-2010,Outpatient,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,PrimarySchool,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,QuickServiceRestaurant,,No,WoodFramed,Nonresidential,Mass,Nonresidential,Attic and Other,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,MidriseApartment,,No,SteelFramed,Residential,Mass,Residential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,SecondarySchool,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2007,SmallHotel,,Yes,SteelFramed,Residential,Mass,Residential,IEAD,Residential,int_wall_smallhotel,int_slab_floor_smallhotel,int_slab_ceiling_smallhotel,Mass,Residential,Unheated,Residential,,Residential,Metal framing (all other),Residential,Metal framing (all other),Residential,Swinging,Residential,,NonSwinging,Residential,Glass with Curb,Residential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,SmallHotel,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,int_wall_smallhotel,int_slab_floor_smallhotel,int_slab_ceiling_smallhotel,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,StripMall,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.72 SHGC 0.25 Sgl Ref-B-M Tint 6mm,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,SuperMarket,,No,Mass,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,MidriseApartment,,No,SteelFramed,Residential,Mass,Residential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
